run_label,paper_model_label,condition,aegis_decision_ms
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,60.846
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,22.979
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,22.625
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,25.445
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,26.273
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,23.128
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,22.62
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,23.297
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,23.192
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,24.555
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,22.17
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,24.693
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,24.261
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,22.969
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,23.492
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,23.72
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,37.518
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,25.193
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,24.336
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,24.198
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,25.385
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,28.025
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,26.933
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,24.368
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,25.622
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,27.212
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,26.744
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,24.895
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,23.621
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,26.824
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,26.617
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,24.056
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,25.366
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,24.85
frontier_temp_0.7_one_run,frontier_model_a,aegis_governed_mesh_agent,23.945
