run_label,paper_model_label,task_set_label,condition,rows,model_avg_ms,model_median_ms,model_p95_ms,model_max_ms,total_avg_ms,total_median_ms,total_p95_ms,total_max_ms,aegis_avg_ms,aegis_median_ms,aegis_p95_ms,aegis_max_ms
stubbed,stub_model,42-task full corpus,aegis_governed_mesh_agent,42,0.003,0.003,0.004,0.008,6833.746,703.526,17633.788,40111.778,6833.497,703.313,17633.553,40111.518
stubbed,stub_model,42-task full corpus,plain_mesh_agent,42,0.002,0.002,0.002,0.003,0.115,0.112,0.139,0.187,N/A,N/A,N/A,N/A
stubbed,stub_model,42-task full corpus,prompt_policy_mesh_agent,42,0.002,0.002,0.002,0.003,0.14,0.137,0.184,0.189,N/A,N/A,N/A,N/A
