run_label,paper_model_label,task_set_label,condition,rows,model_avg_ms,model_median_ms,model_p95_ms,model_max_ms,total_avg_ms,total_median_ms,total_p95_ms,total_max_ms,aegis_avg_ms,aegis_median_ms,aegis_p95_ms,aegis_max_ms
stubbed,stub_model,42-task full corpus,aegis_governed_mesh_agent,42,0.004,0.003,0.004,0.029,26.002,24.398,29.812,66.602,25.767,24.133,29.55,66.414
stubbed,stub_model,42-task full corpus,plain_mesh_agent,42,0.002,0.002,0.003,0.004,0.108,0.104,0.137,0.204,N/A,N/A,N/A,N/A
stubbed,stub_model,42-task full corpus,prompt_policy_mesh_agent,42,0.002,0.002,0.002,0.002,0.13,0.128,0.153,0.165,N/A,N/A,N/A,N/A
