run_label,paper_model_label,condition,aegis_decision_ms
stubbed_1x,stub_model,aegis_governed_mesh_agent,83.97
stubbed_1x,stub_model,aegis_governed_mesh_agent,31.452
stubbed_1x,stub_model,aegis_governed_mesh_agent,25.202
stubbed_1x,stub_model,aegis_governed_mesh_agent,25.032
stubbed_1x,stub_model,aegis_governed_mesh_agent,24.802
stubbed_1x,stub_model,aegis_governed_mesh_agent,24.335
stubbed_1x,stub_model,aegis_governed_mesh_agent,26.394
stubbed_1x,stub_model,aegis_governed_mesh_agent,26.977
stubbed_1x,stub_model,aegis_governed_mesh_agent,25.333
stubbed_1x,stub_model,aegis_governed_mesh_agent,24.753
stubbed_1x,stub_model,aegis_governed_mesh_agent,27.199
stubbed_1x,stub_model,aegis_governed_mesh_agent,24.616
stubbed_1x,stub_model,aegis_governed_mesh_agent,25.203
stubbed_1x,stub_model,aegis_governed_mesh_agent,25.227
stubbed_1x,stub_model,aegis_governed_mesh_agent,31.767
stubbed_1x,stub_model,aegis_governed_mesh_agent,27.99
stubbed_1x,stub_model,aegis_governed_mesh_agent,26.567
stubbed_1x,stub_model,aegis_governed_mesh_agent,31.657
stubbed_1x,stub_model,aegis_governed_mesh_agent,25.3
stubbed_1x,stub_model,aegis_governed_mesh_agent,26.522
stubbed_1x,stub_model,aegis_governed_mesh_agent,31.353
stubbed_1x,stub_model,aegis_governed_mesh_agent,27.304
stubbed_1x,stub_model,aegis_governed_mesh_agent,27.401
stubbed_1x,stub_model,aegis_governed_mesh_agent,27.649
stubbed_1x,stub_model,aegis_governed_mesh_agent,26.509
stubbed_1x,stub_model,aegis_governed_mesh_agent,25.21
stubbed_1x,stub_model,aegis_governed_mesh_agent,28.493
stubbed_1x,stub_model,aegis_governed_mesh_agent,29.582
stubbed_1x,stub_model,aegis_governed_mesh_agent,24.477
stubbed_1x,stub_model,aegis_governed_mesh_agent,26.045
stubbed_1x,stub_model,aegis_governed_mesh_agent,28.519
stubbed_1x,stub_model,aegis_governed_mesh_agent,26.027
stubbed_1x,stub_model,aegis_governed_mesh_agent,29.995
stubbed_1x,stub_model,aegis_governed_mesh_agent,26.385
